PMID	MeshID	Mentions	Resource
1000336	MESH:D010024	osteoporosis	DNorm|MeSH
1000337	MESH:D001862	Bone resorption|bone resorption	MeSH
100034	MESH:D001523	psychiatric|psychiatric disorders	MeSH|DNorm
1000340	MESH:D010001	Paget's disease of bone	MeSH|DNorm
1000341	MESH:D006961	hyperparathyroidism	MeSH
1000341	MESH:D010001	Paget's disease of bone	MeSH|DNorm
1000342	MESH:D010024	osteoporosis	DNorm|MeSH
1000344	MESH:D009050	fluorosis	DNorm|MeSH
1000348	MESH:D001862	bone resorption	MeSH
1000349	MESH:D002114	calcification of the dorsal fascia	DNorm|MeSH
1000353	MESH:D001847	bone disease	MeSH
1000353	MESH:D001862	bone resorption	MeSH
1000353	MESH:D010024	osteoporosis	DNorm|MeSH
1000354	MESH:D001862	bone resorption	MeSH
1000356	MESH:D003728	supragingival dental calculus	MeSH|DNorm
1000367	MESH:D001835	body weight	MeSH
1000374	MESH:D009175	Mycoplasma agalactiae|mycoplasma|mycoplasmas	MeSH|DNorm
1000376	MESH:D008630	mercury poisoning	MeSH
1000379	MESH:D007637	keratoconjunctivitis	DNorm|MeSH
100038	MESH:D011502	PCM|marasmus|protein-calorie malnutrition	DNorm|MeSH
1000381	MESH:D009175	Mycoplasma gallisepticum	MeSH|DNorm
1000384	MESH:D000013	birth defects	MeSH
1000385	MESH:D008414	Bovine mastitis	DNorm|MeSH
1000385	MESH:D009175	Mycoplasma agalactiae	MeSH|DNorm
1000390	MESH:D000542	Hypersensitivity pneumonitis|hypersensitivity pneumonitides	MeSH
1000408	MESH:D000544	Alzheimer's disease	MeSH|DNorm
1000408	MESH:D003704	dementia	DNorm|MeSH
1000408	MESH:D006849	hydrocephalus	DNorm|MeSH
1000408	MESH:D006850	normal pressure hydrocephalus	MeSH
1000409	MESH:D002547	Cerebral Palsy 9	DNorm|MeSH
1000409	MESH:D004827	Epileptic 9	DNorm|MeSH
1000410	MESH:D000860	hypoxia	DNorm|MeSH
1000411	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000412	MESH:D003638	nerve deafness	MeSH|DNorm
1000412	MESH:D004827	epilepsy	DNorm|MeSH
1000412	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000412	MESH:D009896	optic atrophy	DNorm|MeSH
1000413	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000414	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000414	MESH:D012640	seizures	DNorm|MeSH
1000415	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000416	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000416	MESH:D006333	congestive heart failure	MeSH|DNorm
1000417	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000418	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000419	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
100042	MESH:D034381	hearing loss|hearing losses	DNorm|MeSH
1000420	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000420	MESH:D012600	scoliosis	DNorm|MeSH
1000421	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000422	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000423	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000423	MESH:D005878	Gilbert's syndrome	DNorm|MeSH
1000424	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000425	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000426	MESH:D005621	Friedreich's ataxia	MeSH|DNorm
1000436	MESH:D011471	malignant prostate tumors|prostate tumors|prostatic cancer	DNorm|MeSH
1000443	MESH:D006973	hypertension	DNorm|MeSH
1000444	MESH:D006345	ventricular septal defect	DNorm|MeSH
1000445	MESH:D006099	Granulomas	MeSH|DNorm
1000445	MESH:D006470	bleeding	DNorm|MeSH
1000445	MESH:D014201	trematode	DNorm|MeSH
100045	MESH:D009085	Morquio syndrome	DNorm|MeSH
1000455	MESH:D011928	Raynaud's phenomenon	DNorm|MeSH
1000456	MESH:D002764	cholecystitis	MeSH|DNorm
1000456	MESH:D005705	gallbladder disease	MeSH|DNorm
1000457	MESH:D001442	Bacteroides fragilis	MeSH|DNorm
1000457	MESH:D018805	sepsis	DNorm|MeSH
1000464	MESH:D007938	leukemia	MeSH
1000465	MESH:D009447	neuroblastoma	MeSH|DNorm
1000466	MESH:D008545	malignant melanoma	MeSH|DNorm
1000466	MESH:D009362	metastases	MeSH
1000467	MESH:D007945	lymphocytic leukemia	MeSH
1000468	MESH:D009362	Metastases	DNorm|MeSH
1000471	MESH:D009369	neoplasms	MeSH|DNorm
1000472	MESH:D001855	bone marrow aspiration	MeSH|DNorm
1000473	MESH:D008545	melanoma|melanoma of the skin	MeSH|DNorm
1000474	MESH:D010051	ovarian tumors	DNorm|MeSH
1000475	MESH:D010190	carcinoma of the pancreas|pancreatic cancer|pancreatitis	MeSH|DNorm
1000475	MESH:D010195	pancreatitis	MeSH
1000480	MESH:D002294	squamous cell carcinoma|squamous cell carcinomas	DNorm|MeSH
1000480	MESH:D010212	Epithelial papilloma|epithelial papilloma|epithelial papillomas|papilloma	DNorm|MeSH
1000481	MESH:D008175	deficit lung cancer|lung cancer	MeSH|DNorm
1000482	MESH:D009362	metastases|metastatic tumor|metastatic tumors	DNorm|MeSH
1000483	MESH:D001943	breast cancer	DNorm|MeSH
1000483	MESH:D009362	metastases	MeSH
1000484	MESH:D001943	breast tumors	DNorm|MeSH
1000485	MESH:D009362	metastasis	DNorm|MeSH
1000485	MESH:D011471	prostate carcinoma|prostatic carcinoma	DNorm|MeSH
1000486	MESH:D007945	lymphocytic leukemia	MeSH
1000486	MESH:D012008	Testicular relapse	DNorm|MeSH
1000494	MESH:D006042	goiters	DNorm|MeSH
1000494	MESH:D006965	hyperplasia	MeSH|DNorm
1000494	MESH:D013959	thyroid hyperplasia	DNorm|MeSH
1000497	MESH:D009447	neuroblastoma	MeSH|DNorm
1000499	MESH:D000230	adenocarcinoma	MeSH|DNorm
1000501	MESH:D000230	adenocarcinoma	MeSH
1000503	MESH:D001943	breast carcinoma	DNorm|MeSH
1000503	MESH:D010190	pancreatic adenocarcinoma	MeSH|DNorm
1000504	MESH:D001943	breast cancer	DNorm|MeSH
1000505	MESH:D001943	breast cancer	DNorm|MeSH
1000506	MESH:D001943	breast cancer	DNorm|MeSH
1000508	MESH:D001749	bladder tumor|urinary bladder carcinomas	MeSH|DNorm
1000508	MESH:D002295	transitional cell carcinomas	MeSH|DNorm
1000510	MESH:D012510	Sarcoma 180	DNorm|MeSH
1000513	MESH:D009369	Cancer|tumor	MeSH|DNorm
1000516	MESH:D007939	L1210 leukemia	DNorm|MeSH
1000518	MESH:D008545	malignant melanoma	MeSH|DNorm
1000518	MESH:D009362	metastases	MeSH
1000519	MESH:D000230	adenocarcinoma of the ovary	MeSH|DNorm
1000519	MESH:D009325	nausea	DNorm|MeSH
1000519	MESH:D014839	vomiting	DNorm|MeSH
1000520	MESH:D009369	tumor|tumors	MeSH|DNorm
1000521	MESH:D001943	breast carcinoma|carcinoma of the breast	DNorm|MeSH
1000531	MESH:D010493	pericarditis	DNorm|MeSH
1000531	MESH:D010494	constrictive pericarditis	MeSH|DNorm
100	MESH:D016464	lysosomal storage disease	DNorm
10000036	MESH:D019966	Dependence	DNorm
10000039	MESH:D009069	Faraday rotation	DNorm
1000004	MESH:D005334	hyperthermia	DNorm
10000059	MESH:D030342	order-disorder	DNorm
100001	MESH:D000789	unstable angina pectoris	DNorm
10000119	MESH:D000013	defect-plane wetting	DNorm
10000126	MESH:D003866	depression	DNorm
10000157	MESH:D000795	Fabry-P	DNorm
1000016	MESH:D006509	type B virus hepatitis	DNorm
1000018	MESH:D006130	intra-uterine growth retardation	DNorm
1000019	MESH:D007938	leukemia	DNorm
1000019	MESH:D015451	chronic lymphocytic leukemia|chronic lymphocytic leukemia	DNorm
100002	MESH:D003324	coronary artery disease|coronary artery disease|coronary artery disease	DNorm
1000020	MESH:D002292	C-cell carcinoma	DNorm
1000022	MESH:D011164	porphyria	DNorm
1000023	MESH:C562587	deficiency of PNP-GT	DNorm
1000023	MESH:C564971	giant mitochondria	DNorm
1000023	MESH:D005878	Gilbert's syndrome	DNorm
1000023	MESH:D028361	mitochondrial abnormalities	DNorm
1000028	MESH:D006111	thyrotoxicosis|thyrotoxicosis|thyrotoxicosis	DNorm
100003	MESH:D004696	endocarditis|endocarditis|endocarditis|endocarditis	DNorm
100003	MESH:D007239	infections	DNorm
1000030	MESH:D006929	hyperaldosteronism	DNorm
1000033	MESH:D007662	ketonuria	DNorm
1000035	MESH:D017086	beta thalassemia|beta thalassemia|beta thalassemias	DNorm
1000038	MESH:D007938	Leukaemia|leukaemia	DNorm
1000039	MESH:D008659	metabolic anomaly	DNorm
1000039	MESH:D009369	tumor|cancer	DNorm
1000039	MESH:D010257	paraneoplastic syndrome	DNorm
1000040	MESH:D007713	Klinefelter syndrome	DNorm
1000040	MESH:D009369	cancers|cancers|cancer	DNorm
1000040	MESH:D018567	male breast cancer|male breast cancers	DNorm
1000040	MESH:D030342	genetic abnormalities	DNorm
10000400	MESH:D030342	Disorder	DNorm
1000042	MESH:D007239	parasitic infections	DNorm
10000422	MESH:D019966	Dependence	DNorm
10000427	MESH:C566092	Haas-Shubnikov oscillations	DNorm
10000459	MESH:D019966	Dependence	DNorm
1000047	MESH:D019966	dependence	DNorm
10000470	MESH:D028361	Structure of dislocations	DNorm
100005	MESH:D005350	fibroma	DNorm
10000575	MESH:D014786	Visual observation of dispirations	DNorm
1000059	MESH:D009369	benign ovarian tumours	DNorm
1000060	MESH:D009369	cancer	DNorm
10000781	MESH:D030342	Alloy-disorder	DNorm
10000784	MESH:D007184	Bloch oscillations	DNorm
1000079	MESH:D006402	non-Newtonian viscosity of blood	DNorm
1000082	MESH:D064420	cytotoxicity|cytotoxicity|cytotoxicity|cytotoxic|cytotoxic|cytotoxicity|cytotoxic|cytotoxic	DNorm
10000820	MESH:C535468	cuboctahedral copper clusters	DNorm
1000083	MESH:C536572	marrow failure	DNorm
1000085	MESH:D007020	congenital clotting factor deficiencies	DNorm
1000086	MESH:D001778	consumption coagulopathy	DNorm
1000089	MESH:D009369	malignancy|malignant tumour|lymph node tumours	DNorm
1000089	MESH:D009377	adenopathies|adenopathies	DNorm
1000090	MESH:D001201	ascitic	DNorm
1000090	MESH:D002277	terato-carcinomas|carcinoma|Terato-carcinoma	DNorm
10000900	MESH:D001523	Arrhenius behavior	DNorm
1000091	MESH:D018288	small cell carcinomas	DNorm
1000092	MESH:D002277	Nasopharyngeal carcinomas	DNorm
1000092	MESH:D009369	malignancies|nasopharyngeal cancers	DNorm
10000943	MESH:D012652	Self-oscillations	DNorm
1000099	MESH:D001523	psychiatric|psychiatric|psychiatric|psychiatric|psychiatric|psychiatric	DNorm
10001023	MESH:D009901	Optic-phonon-limited transport and anomalous	DNorm
10001046	MESH:D046728	atomic-force microscope	DNorm
10001088	MESH:C536644	epitaxial silver films	DNorm
1000110	MESH:D009336	necrosis	DNorm
1000111	MESH:D000783	Aneurysms	DNorm
1000112	MESH:D002280	Basal cell carcinoma	DNorm
1000113	MESH:D006547	muscle hernias	DNorm
1000119	MESH:D013478	mesenteric artery syndrome|mesenteric artery syndrome	DNorm
10001204	MESH:C536693	parabolic quantum wells	DNorm
1000125	MESH:D009369	unusual hand 'tumour	DNorm
1000126	MESH:D003286	burn contractures of the axilla	DNorm
10001290	MESH:D016638	Critical-state scaling	DNorm
100013	MESH:D003920	diabetic|diabetes|diabetic	DNorm
100013	MESH:D006946	hyperinsulinemia	DNorm
100013	MESH:D006963	hyperphagia	DNorm
100013	MESH:D006984	Hypertrophy	DNorm
100013	MESH:D007027	ventromedial hypothalamic (VMH) lesions	DNorm
1000131	MESH:C537221	caudal epididymis	DNorm
10001313	MESH:C537238	Pairing	DNorm
10001326	MESH:D030342	Order-disorder	DNorm
1000133	MESH:D010300	Parkinsonian	DNorm
10001343	MESH:D050723	fracture	DNorm
1000136	MESH:D000341	paranoid and affective psychoses	DNorm
1000136	MESH:D011605	psychosis	DNorm
1000137	MESH:D001523	aggression	DNorm
1000137	MESH:D006948	hyperactivity	DNorm
1000137	MESH:D007174	impulsiveness	DNorm
1000137	MESH:D053206	nocturnal enuresis	DNorm
10001392	MESH:D015456	Ripplon-roton hybridization	DNorm
10001396	MESH:C537881	In-plane vortex-lattice depinning	DNorm
1000140	MESH:D020018	sexual anomalies	DNorm
10001421	MESH:C567546	amorphous gallium	DNorm
1000143	MESH:D005334	Lengthy illness	DNorm
1000143	MESH:D012559	schizophrenic|schizophrenic|schizophrenic|schizophrenic	DNorm
1000144	MESH:C564108	manic illness	DNorm
1000144	MESH:D003866	depressed|depression|depressed	DNorm
1000144	MESH:D019957	motor retardation|motor retardation|motor retardation|motor retardation	DNorm
1000145	MESH:D001008	anxiety	DNorm
1000145	MESH:D007859	academic|academic	DNorm
10001467	MESH:D006212	Elementary excitations	DNorm
1000147	MESH:D003866	depression	DNorm
10001503	MESH:D028361	Crystal-structure	DNorm
10001518	MESH:D009069	Faraday rotation	DNorm
1000152	MESH:D009771	obsessional-compulsive disorder	DNorm
10001523	MESH:D019966	Dependence	DNorm
10001588	MESH:C566092	Haas	DNorm
1000162	MESH:D004844	epistaxis	DNorm
10001621	MESH:D009901	Longitudinal-optical phonons	DNorm
1000167	MESH:D020786	traumatic extracerebral lesions|traumatic intracranial extracerebral lesions	DNorm
10001673	MESH:C536693	parabolic quantum wells	DNorm
1000168	MESH:C536214	myoepithelial contraction	DNorm
1000169	MESH:D010024	osteoporosis	DNorm
100017	MESH:D006935	hypercapnia|hypercapnia|hypercapnia	DNorm
100017	MESH:D015834	cochlear microphonics|CM|CM	DNorm
1000170	MESH:D003866	ST segment depression	DNorm
1000170	MESH:D007022	hypotension	DNorm
1000170	MESH:D018879	premature ventricular contractions	DNorm
10001701	MESH:D006816	HD	DNorm
10001741	MESH:D030342	correlated disorder	DNorm
1000177	MESH:D001157	arterial occlusive disease	DNorm
1000178	MESH:D003251	arteriosclerotic stenosis	DNorm
1000178	MESH:D014715	artery insufficiency	DNorm
10001781	MESH:D006212	Elementary excitations	DNorm
1000179	MESH:D028361	Structural deterioration	DNorm
1000180	MESH:D000013	Each anomaly	DNorm
1000180	MESH:D042882	gallstones	DNorm
1000180	MESH:D044584	important ductal anomalies	DNorm
1000180	MESH:D056486	accessory hepatic ducts	DNorm
10001803	MESH:D019966	dependence	DNorm
1000181	MESH:D042882	Gallstone pancreatitis|gallstone pancreatitis	DNorm
1000182	MESH:C566443	Additives and protein components	DNorm
1000182	MESH:D004342	hypersensitivity to starch glove	DNorm
1000183	MESH:D004342	Allergic starch peritonitis|hypersensitivity	DNorm
1000183	MESH:D006099	florid omental granulomas	DNorm
10001830	MESH:D000013	Phonon anomalies	DNorm
1000184	MESH:C563598	anastomosis	DNorm
1000184	MESH:D007249	inflammation	DNorm
1000185	MESH:D003110	malignant neoplasm of the pelvic colon with obstruction	DNorm
1000185	MESH:D003112	pseudo-obstruction of the transverse colon	DNorm
1000185	MESH:D004646	surgical emphysema	DNorm
1000185	MESH:D014456	ulcer	DNorm
10001851	MESH:D020511	Josephson-junction arrays	DNorm
10001857	MESH:D007787	Anisotropic-vortex-flux production	DNorm
1000188	MESH:D001064	appendicitis	DNorm
1000188	MESH:D007249	acute inflammation	DNorm
100019	MESH:D007238	infarct|infarct	DNorm
100019	MESH:D007511	ischemic|ischemic|ischemic	DNorm
10001900	MESH:D054549	broken-bond defect	DNorm
1000192	MESH:D009765	obesity	DNorm
1000193	MESH:D008107	Spontaneous rupture of the liver	DNorm
1000195	MESH:D007869	pneumatic leggings	DNorm
1000195	MESH:D009408	pneumatic leg compression	DNorm
1000195	MESH:D020246	deep vein thrombosis|deep vein thrombosis	DNorm
1000196	MESH:D016715	Proteus|Proteus mirabilis	DNorm
1000197	MESH:D018805	Dental sepsis|dental sepsis	DNorm
1000199	MESH:D013577	Cushingoid syndrome	DNorm
100020	MESH:D013959	Congenital thyroid disease	DNorm
10002005	MESH:D000013	elastic anomalies	DNorm
1000201	MESH:D008581	Meningitis	DNorm
10002019	MESH:D030342	isotopic disorder	DNorm
1000202	MESH:D058186	acute renal failure	DNorm
1000205	MESH:D001656	extrahepatic biliary disease	DNorm
1000205	MESH:D065311	carcinoma	DNorm
10002057	MESH:D003027	cluster-cluster collisions	DNorm
1000206	MESH:D050723	fractures	DNorm
10002061	MESH:D000267	Adhesive avalanche	DNorm
10002066	MESH:D019966	dependence	DNorm
1000209	MESH:D003324	Coronary artery disease	DNorm
1000209	MESH:D055008	coalworkers' pneumoconiosis	DNorm
10002115	MESH:D020511	Josephson-junction	DNorm
1000212	MESH:D007251	influenza	DNorm
10002120	MESH:D009041	fluctuation, and vortex motion	DNorm
1000215	MESH:D003424	Crohn's disease	DNorm
1000215	MESH:D004194	coeliac disease	DNorm
1000216	MESH:D055009	cervical spondylosis	DNorm
1000217	MESH:D011471	Prostatic cancer	DNorm
1000221	MESH:D006973	hypertension	DNorm
1000224	MESH:D010018	osteomalacia	DNorm
10002242	MESH:D050723	Fracture	DNorm
1000225	MESH:D003424	Crohn's disease	DNorm
1000227	MESH:D004194	iliac disease	DNorm
1000227	MESH:D004828	Abdominal disease	DNorm
1000227	MESH:D008107	Liver disease	DNorm
1000227	MESH:D013158	splenic disease	DNorm
10002279	MESH:D000013	Defect-defect	DNorm
10002288	MESH:D028361	structural disorder	DNorm
1000231	MESH:D001327	autoimmune disease	DNorm
1000232	MESH:D000755	sickle-cell disease	DNorm
10002322	MESH:D003866	Depression	DNorm
10002326	MESH:C537881	Josephson-vortex-lattice	DNorm
1000233	MESH:D005168	Factor VII deficiency	DNorm
1000233	MESH:D009404	nephrotic syndrome	DNorm
1000234	MESH:D001161	arteriosclerosis	DNorm
1000237	MESH:D006259	head injury|head injuries	DNorm
1000237	MESH:D020198	traumatic intracranial haematoma	DNorm
1000237	MESH:D020300	intracranial haematoma	DNorm
1000240	MESH:D000031	repeat abortions	DNorm
1000240	MESH:D001766	legal abortion	DNorm
1000241	MESH:D007239	exotic infections	DNorm
1000242	MESH:D001249	asthma	DNorm
10002445	MESH:D030342	complexities of disorder	DNorm
10002446	MESH:D007184	Bloch oscillations	DNorm
1000245	MESH:D006111	neonatal thyrotoxicosis	DNorm
1000248	MESH:D012410	congenital rubella	DNorm
1000251	MESH:D001943	breast cancer	DNorm
1000252	MESH:D002771	cholera	DNorm
1000256	MESH:D020388	Becker type X-linked muscular dystrophy	DNorm
10002569	MESH:D015431	Anomalous reduction of solvent friction	DNorm
10002570	MESH:D001791	fractal aggregates	DNorm
10002576	MESH:D006816	HD	DNorm
10002593	MESH:D006212	Elementary excitations	DNorm
100026	MESH:D001523	mental disorders	DNorm
100026	MESH:D008659	metabolic diseases|metabolic disorders	DNorm
100026	MESH:D009542	Niemann-Pick disease	DNorm
100026	MESH:D010661	phenylketonuria	DNorm
100026	MESH:D030342	anabolic disorders	DNorm
1000260	MESH:D018376	sarcoidosis abnormalities	DNorm
1000261	MESH:D004211	intravascular coagulation	DNorm
10002614	MESH:D000013	columnar defects	DNorm
10002617	MESH:C537238	pairing	DNorm
1000262	MESH:D006457	Paroxysmal nocturnal haemoglobinuria-like defect	DNorm
1000262	MESH:D007938	lymphatic leukaemia	DNorm
10002628	MESH:D019966	Dependence	DNorm
1000263	MESH:D014947	Ligamentous injuries	DNorm
1000264	MESH:D004485	eczema	DNorm
1000265	MESH:D050723	fracture	DNorm
1000267	MESH:C538336	NHS|NHS	DNorm
1000269	MESH:D001927	Paroxysmal brain stem dysfunction	DNorm
1000269	MESH:D009103	multiple sclerosis	DNorm
1000270	MESH:D013577	cushingoid syndrome	DNorm
10002705	MESH:D019966	dependence	DNorm
10002720	MESH:D019966	Dependence	DNorm
1000273	MESH:D009203	Myocardial infarction	DNorm
1000279	MESH:D002561	intracranial diseases	DNorm
100028	MESH:D009140	kyphotic deformity of the vertebral column	DNorm
100028	MESH:D016063	surgical incision	DNorm
1000280	MESH:D000849	anomic aphasia	DNorm
1000280	MESH:D001041	sensory aphasia	DNorm
1000280	MESH:D009155	voluntary speech|voluntary speech	DNorm
1000280	MESH:D014899	Wernicke's area|Wernicke's area|Wernicke's area|Wernicke's area|Wernicke's area|Wernicke's area|Wernicke's area	DNorm
10002807	MESH:D008569	memory loss	DNorm
1000282	MESH:C537069	automatisms|automatisms|automatism	DNorm
1000282	MESH:D012640	during frontal lobe seizures	DNorm
1000283	MESH:D008107	vermian dysfunction	DNorm
1000283	MESH:D015430	adaptive gain|increased gain	DNorm
1000284	MESH:D003711	demyelinating disease	DNorm
1000284	MESH:D005128	Ocular oscillations	DNorm
1000284	MESH:D009369	tumour	DNorm
1000284	MESH:D015430	gain abnormality	DNorm
1000284	MESH:D015835	disorder of saccadic eye movement	DNorm
1000285	MESH:D002534	cerebral hypoxia	DNorm
1000285	MESH:D004827	epileptic seizures|epileptic seizures	DNorm
1000285	MESH:D007022	arterial hypotension|hypotension	DNorm
1000285	MESH:D008305	hyperpyrexia	DNorm
10002850	MESH:C538139	Si-Ge alloys	DNorm
1000287	MESH:C536214	voluntary contraction	DNorm
1000287	MESH:D001927	Cerebral lesions	DNorm
1000287	MESH:D006470	haemorrhage	DNorm
1000287	MESH:D007238	infarction	DNorm
1000288	MESH:C563206	HRP|horseradish peroxidase|HRP|HRP|horseradish peroxidase|HRP|HRP|HRP	DNorm
10002885	MESH:D000013	elastic anomalies	DNorm
